time_period,region,roadmap_group,roadmap_invoice_qty,roadmap_invoice_qty_pct_change,roadmap_invoice_qty_pct_change_roll_mean,roadmap_invoice_qty_pct_change_realised_volatility,roadmap_invoice_qty_pct_change_ngtv_realised_volatility,h.01,h.02,h.03,h.04,h.05,h.06,h.07,h.08,h.09,h.10,h.11,h.12
2020-02-01,CHINA,C Series-23.8,0.0,-100.0,1842.803426189719,1942.803426189719,-1942.803426189719,10808883.428720828,10808875.318090592,10808869.869318765,10808866.20879997,10808863.74964068,10808862.097562179,10808860.987685569,10808860.24206356,10808859.741150059,10808859.404633254,10808859.178559171,10808859.026681198
2020-03-01,CHINA,C Series-23.8,648.0,9482.857142857143,2106.2535543506647,7376.603588506478,-7376.603588506478,12885676.791169051,12885673.106349822,12885670.587369863,12885668.865369502,12885667.688192517,12885666.883462338,12885666.333340589,12885665.957271758,12885665.700187275,12885665.524441704,12885665.40430024,12885665.322170313
2020-04-01,CHINA,C Series-23.8,86.0,-86.72839506172839,2033.1541560369183,2119.8825510986467,-2119.8825510986467,12511416.66585284,12511413.70494267,12511411.684324235,12511410.305390522,12511409.364362689,12511408.722175634,12511408.283926943,12511407.984852223,12511407.780754207,12511407.641471287,12511407.546420231,12511407.481554395
2020-05-01,CHINA,C Series-23.8,741.0,761.6279069767442,1992.1371802607835,1230.5092732840394,-1230.5092732840394,14540755.09314955,14540755.093164694,14540755.093172166,14540755.093175853,14540755.093177672,14540755.09317857,14540755.093179014,14540755.093179232,14540755.09317934,14540755.093179394,14540755.09317942,14540755.09317943
2020-06-01,CHINA,C Series-23.8,396.0,-46.558704453441294,1928.427933863464,1974.9866383169053,-1974.9866383169053,14193432.35640148,14193432.35640068,14193432.356400285,14193432.356400091,14193432.356399994,14193432.356399946,14193432.356399924,14193432.356399912,14193432.356399905,14193432.356399903,14193432.356399901,14193432.356399901
2020-07-01,CHINA,C Series-23.8,0.0,-100.0,1866.9604207160862,1966.9604207160862,-1966.9604207160862,13435314.7139542,13435314.110350793,13435313.695180917,13435313.4096192,13435313.213204432,13435313.078106629,13435312.985183796,13435312.921269707,13435312.877308385,13435312.847070953,13435312.826273074,13435312.811967898
2020-08-01,CHINA,C Series-23.8,0.0,0.0,1812.0498201067896,1812.0498201067896,-1812.0498201067896,13094553.751762096,13094553.208709897,13094552.835729754,13094552.579558821,13094552.403615015,13094552.282772955,13094552.19977598,13094552.142771842,13094552.103620151,13094552.076729912,13094552.058261108,13094552.045576327
2020-09-01,CHINA,C Series-23.8,0.0,0.0,1760.2769681037385,1760.2769681037385,-1760.2769681037385,12777986.907651626,12777986.45806853,12777986.14967705,12777985.938135944,12777985.793029346,12777985.69349349,12777985.625216879,12777985.578382544,12777985.546256537,12777985.524219705,12777985.509103542,12777985.498734612
2020-10-01,CHINA,C Series-23.8,180.0,9482.857142857143,1974.7930840691106,7508.0640587880325,-7508.0640587880325,12462830.20997753,12462829.853272052,12462829.608899018,12462829.441483086,12462829.326789193,12462829.2482143,12462829.194383938,12462829.157505646,12462829.132240936,12462829.1149325,12462829.103074776,12462829.094951246
2020-11-01,CHINA,C Series-23.8,144.0,-19.999999999999996,1920.8797574726482,1940.8797574726482,-1940.8797574726482,12161516.537698897,12161516.263917083,12161516.0765809,12161515.94839545,12161515.860684097,12161515.800667292,12161515.75960058,12161515.731500536,12161515.71227298,12161515.699116455,12161515.690114059,12161515.683954135
