time_period,region,roadmap_group,roadmap_invoice_qty,roadmap_invoice_qty_pct_change,roadmap_invoice_qty_pct_change_roll_mean,roadmap_invoice_qty_pct_change_realised_volatility,roadmap_invoice_qty_pct_change_ngtv_realised_volatility,h.01,h.02,h.03,h.04,h.05,h.06,h.07,h.08,h.09,h.10,h.11,h.12
2020-01-01,AAP,MiniPC-N6,61.0,127020.95130237825,33548.74583377034,93472.2054686079,-93472.2054686079,2989093198.30925,2989093198.3092184,2989093198.3092027,2989093198.3091946,2989093198.3091908,2989093198.309189,2989093198.309188,2989093198.3091874,2989093198.309187,2989093198.309187,2989093198.309187,2989093198.309187
2020-02-01,AAP,MiniPC-N6,550.0,801.639344262295,32906.64570652508,32105.006362262786,-32105.006362262786,2947580704.6474295,2947580704.6473904,2947580704.6473703,2947580704.647361,2947580704.647356,2947580704.647353,2947580704.647352,2947580704.6473513,2947580704.6473513,2947580704.6473513,2947580704.6473513,2947580704.6473513
2020-03-01,AAP,MiniPC-N6,314.0,-42.90909090909091,32273.00042195904,32315.909512868133,-32315.909512868133,3070921923.4558926,3070921923.4559817,3070921923.456026,3070921923.4560485,3070921923.4560595,3070921923.456065,3070921923.456068,3070921923.4560695,3070921923.45607,3070921923.4560704,3070921923.456071,3070921923.456071
2020-04-01,AAP,MiniPC-N6,0.0,-100.0,31662.189093242836,31762.189093242836,-31762.189093242836,3030002768.478198,3030002768.4784203,3030002768.478531,3030002768.478586,3030002768.478614,3030002768.478627,3030002768.478634,3030002768.4786377,3030002768.4786396,3030002768.4786406,3030002768.4786406,3030002768.4786406
2020-05-01,AAP,MiniPC-N6,1.0,127020.95130237825,33428.09209711571,93592.85920526253,-93592.85920526253,2990984866.4749527,2990984866.4749527,2990984866.4749527,2990984866.4749527,2990984866.4749527,2990984866.4749527,2990984866.4749527,2990984866.4749527,2990984866.4749527,2990984866.4749527,2990984866.4749527,2990984866.4749527
2020-06-01,AAP,MiniPC-N6,1272.0,127100.0,35131.21769534997,91968.78230465003,-91968.78230465003,2952775319.372999,2952775319.372732,2952775319.372599,2952775319.372533,2952775319.3724995,2952775319.3724833,2952775319.3724747,2952775319.372471,2952775319.372469,2952775319.372468,2952775319.3724675,2952775319.372467
2020-07-01,AAP,MiniPC-N6,590.0,-53.61635220125787,34502.917087357986,34556.53343955924,-34556.53343955924,3066834896.649666,3066834896.649666,3066834896.649666,3066834896.649666,3066834896.649666,3066834896.649666,3066834896.649666,3066834896.649666,3066834896.649666,3066834896.649666,3066834896.649666,3066834896.649666
2020-08-01,AAP,MiniPC-N6,16.0,-97.28813559322033,33895.89594309568,33993.1840786889,-33993.1840786889,3171559872.724735,3171559872.724736,3171559872.724737,3171559872.724737,3171559872.724737,3171559872.724737,3171559872.724737,3171559872.724737,3171559872.724737,3171559872.724737,3171559872.724737,3171559872.724737
2020-09-01,AAP,MiniPC-N6,6.0,-62.5,33310.4063578699,33372.9063578699,-33372.9063578699,3135447487.762227,3135447487.762227,3135447487.762227,3135447487.762227,3135447487.762227,3135447487.762227,3135447487.762227,3135447487.762227,3135447487.762227,3135447487.762227,3135447487.762227,3135447487.762227
2020-10-01,AAP,MiniPC-N6,0.0,-100.0,32744.128284007693,32844.12828400769,-32844.12828400769,3099936169.023054,3099936169.023127,3099936169.023164,3099936169.023182,3099936169.023191,3099936169.0231953,3099936169.0231977,3099936169.023199,3099936169.0231996,3099936169.0232,3099936169.0232,3099936169.0232
2020-11-01,AAP,MiniPC-N6,34.0,127020.95130237825,34315.4086676472,92705.54263473104,-92705.54263473104,3064967141.0396366,3064967141.0390453,3064967141.0387497,3064967141.0386024,3064967141.038529,3064967141.038492,3064967141.038474,3064967141.0384645,3064967141.03846,3064967141.038458,3064967141.038457,3064967141.038456
2020-12-01,AAP,MiniPC-N6,55.0,61.76470588235294,33753.873520733025,33692.108814850675,-33692.108814850675,3030624759.816268,3030624759.816268,3030624759.816268,3030624759.816268,3030624759.816268,3030624759.816268,3030624759.816268,3030624759.816268,3030624759.816268,3030624759.816268,3030624759.816268,3030624759.816268
2021-01-01,AAP,MiniPC-N6,6.0,-89.0909090909091,33208.01925573587,33297.11016482678,-33297.11016482678,3128506362.7593174,3128506362.7593174,3128506362.7593174,3128506362.7593174,3128506362.7593174,3128506362.7593174,3128506362.7593174,3128506362.7593174,3128506362.7593174,3128506362.7593174,3128506362.7593174,3128506362.7593174
2021-02-01,AAP,MiniPC-N6,0.0,-100.0,32679.320537390853,32779.32053739086,-32779.32053739086,3095214504.68581,3095214504.6858315,3095214504.6858425,3095214504.6858478,3095214504.68585,3095214504.6858516,3095214504.685852,3095214504.6858525,3095214504.685853,3095214504.685853,3095214504.685853,3095214504.685853
2021-03-01,AAP,MiniPC-N6,150.0,127020.95130237825,34153.40851809378,92867.54278428448,-92867.54278428448,3062555416.9012346,3062555416.901225,3062555416.9012203,3062555416.9012175,3062555416.9012165,3062555416.9012156,3062555416.9012156,3062555416.9012156,3062555416.9012156,3062555416.9012156,3062555416.9012156,3062555416.9012156
2021-04-01,AAP,MiniPC-N6,0.0,-100.0,33626.43300243079,33726.43300243079,-33726.43300243079,3030402224.590412,3030402224.590412,3030402224.590412,3030402224.590412,3030402224.590412,3030402224.590412,3030402224.590412,3030402224.590412,3030402224.590412,3030402224.590412,3030402224.590412,3030402224.590412
2021-05-01,AAP,MiniPC-N6,220.0,127020.95130237825,35041.50146152091,91979.44984085734,-91979.44984085734,3121839287.874428,3121839287.874156,3121839287.87402,3121839287.873952,3121839287.873918,3121839287.8739014,3121839287.873893,3121839287.873889,3121839287.873887,3121839287.873886,3121839287.873885,3121839287.873885
2021-06-01,AAP,MiniPC-N6,0.0,-100.0,34517.001439707165,34617.001439707165,-34617.001439707165,3090741265.504488,3090741265.504488,3090741265.504488,3090741265.504488,3090741265.504488,3090741265.504488,3090741265.504488,3090741265.504488,3090741265.504488,3090741265.504488,3090741265.504488,3090741265.504488
2021-07-01,AAP,MiniPC-N6,421.0,127020.95130237825,35877.35364356998,91143.59765880827,-91143.59765880827,3176898502.8086114,3176898502.8085775,3176898502.8085604,3176898502.808552,3176898502.808548,3176898502.808546,3176898502.808545,3176898502.808544,3176898502.808544,3176898502.808544,3176898502.808544,3176898502.808544
2021-08-01,AAP,MiniPC-N6,50.0,-88.12351543942994,35356.11484416404,35444.23835960347,-35444.23835960347,3146818518.3194046,3146818518.3193417,3146818518.31931,3146818518.319294,3146818518.3192863,3146818518.3192825,3146818518.3192806,3146818518.3192797,3146818518.3192787,3146818518.3192787,3146818518.3192787,3146818518.3192787
2016-08-01,AAP,MiniPC-REVO,0.0,-100.0,-100.0,0.0,-0.0,,,,,,,,,,,,
2016-09-01,AAP,MiniPC-REVO,0.0,0.0,-50.0,50.0,-50.0,,,,,,,,,,,,
2016-10-01,AAP,MiniPC-REVO,50.0,1400.0,433.3333333333333,966.6666666666667,-966.6666666666667,,,,,,,,,,,,
2016-11-01,AAP,MiniPC-REVO,50.0,0.0,325.0,325.0,-325.0,12790.0,7645.0,5072.5,3786.25,3143.125,2821.5625,2660.78125,2580.390625,2540.1953125,2520.09765625,2510.048828125,2505.0244140625
2016-12-01,AAP,MiniPC-REVO,152.0,204.0,300.8,96.80000000000001,-96.80000000000001,553672.5427953661,555294.6132899871,556234.5941484392,556779.3078444139,557094.9664111969,557277.8888005543,557383.8913110177,557445.3191781257,557480.9162865428,557501.5446135108,557513.49861462,557520.4258919866
2017-01-01,AAP,MiniPC-REVO,30.0,-80.26315789473684,237.28947368421052,317.55263157894734,-317.55263157894734,430103.32732588984,430455.59367488034,430649.71795432427,430756.69449630054,430815.6463212139,430848.13304770936,430866.03558762127,430875.90118412394,430881.3378425441,430884.333835211,430885.9848442255,430886.89466980554
2017-02-01,AAP,MiniPC-REVO,1.0,-96.66666666666667,189.5814536340852,286.24812030075185,-286.24812030075185,323318.58313614153,323340.12528266857,323351.2801048303,323357.0562264115,323360.0471822544,323361.59594066057,323362.3979092374,323362.8131796861,323363.0282124823,323363.13955944567,323363.1972164472,323363.227072042
2017-03-01,AAP,MiniPC-REVO,0.0,-100.0,153.38377192982455,253.38377192982455,-253.38377192982455,285776.75936570845,285775.4871260972,285774.83823504753,285774.5072756979,285774.3384737223,285774.2523782335,285774.20846622856,285774.1860694201,285774.1746461878,285774.1688199007,285774.16584827064,285774.1643326252
2017-04-01,AAP,MiniPC-REVO,80.0,1400.0,291.896686159844,1108.103313840156,-1108.103313840156,255377.19174705923,255372.2344807789,255369.73954718828,255368.48387656873,255367.85191237106,255367.5338522517,255367.37377634883,255367.2932120369,255367.25266496986,255367.23225810973,255367.22198757797,255367.2168185406
2017-05-01,AAP,MiniPC-REVO,0.0,-100.0,252.70701754385965,352.70701754385965,-352.70701754385965,209528.1571910616,209379.56651384215,209280.25820484565,209213.88701372995,209169.52884214662,209139.88273585954,209120.06921364676,209106.82714878078,209097.97701703582,209092.0621666937,209088.10906683284,209085.46707293508
2017-06-01,AAP,MiniPC-REVO,5.0,1400.0,357.00637958532695,1042.993620414673,-1042.993620414673,373730.7874137024,373736.31217507645,373739.1838715825,373740.676540725,373741.45241002884,373741.8556964367,373742.06531927653,373742.17427840363,373742.2309138895,373742.2603522517,373742.2756539157,373742.2836075144
2017-07-01,AAP,MiniPC-REVO,12.0,140.0,338.92251461988303,198.92251461988303,-198.92251461988303,347566.4290797878,347568.14503440575,347569.0294013502,347569.4851854858,347569.7200870497,347569.8411503786,347569.9035438738,347569.9357001699,347569.95227284904,347569.96081405954,347569.9652160199,347569.96748469776
2017-08-01,AAP,MiniPC-REVO,40.0,233.33333333333334,330.800269905533,97.46693657219967,-97.46693657219967,451652.9896957043,451845.4787950157,451984.9847143671,452086.0912269109,452159.36788016185,452212.4749231858,452250.96409939154,452278.8590187967,452299.0757811524,452313.7278213398,452324.34684519115,452332.04295208916
2017-09-01,AAP,MiniPC-REVO,0.0,-100.0,300.0288220551378,400.0288220551378,-400.0288220551378,395498.5988816268,395499.2275922687,395499.55104957346,395499.71746098914,395499.803075872,395499.8471227791,395499.8697839096,395499.88144254504,395499.8874406474,395499.89052653447,395499.8921141531,395499.89293094666
2017-10-01,AAP,MiniPC-REVO,0.0,0.0,280.02690058479527,280.02690058479527,-280.02690058479527,362545.57071600494,362545.70992839814,362545.78092615405,362545.8171347216,362545.83560094424,362545.84501864284,362545.8498216309,362545.8522711354,362545.8535203727,362545.85415747867,362545.8544824001,362545.85464810877
2017-11-01,AAP,MiniPC-REVO,0.0,0.0,262.5252192982456,262.5252192982456,-262.5252192982456,348465.4203068279,348465.4641967806,348465.48653451237,348465.49790327053,348465.50368938455,348465.50663421943,348465.50813298917,348465.508895786,348465.5092840104,348465.50948159664,348465.50958215795,348465.5096333384
2017-12-01,AAP,MiniPC-REVO,0.0,0.0,247.08255933952526,247.08255933952526,-247.08255933952526,329629.3273186149,329629.3291700204,329629.3301086824,329629.3305845837,329629.3308258655,329629.3309481953,329629.3310102165,329629.3310416612,329629.3310576037,329629.33106568654,329629.3310697845,329629.33107186214
2018-01-01,AAP,MiniPC-REVO,25.0,1400.0,311.1335282651072,1088.866471734893,-1088.866471734893,312520.1478907522,312520.1401710892,312520.13627143693,312520.13430149504,312520.13330636243,312520.13280366285,312520.13254972,312520.1324214386,312520.13235663617,312520.1323239007,312520.13230736414,312520.1322990105
2018-02-01,AAP,MiniPC-REVO,0.0,-100.0,289.49492151431207,389.49492151431207,-389.49492151431207,297131.0251117928,297131.0176302373,297131.0138615945,297131.01196323684,297131.0110069876,297131.01052530145,297131.0102826643,297131.01016044203,297131.0100988757,297131.01006786316,297131.01005224144,297131.0100443724
2018-03-01,AAP,MiniPC-REVO,10.0,1400.0,345.0201754385965,1054.9798245614036,-1054.9798245614036,353377.7993275805,353377.8033431952,353377.8053799879,353377.80641308625,353377.8069370925,353377.807202878,353377.8073376892,353377.80740606796,353377.8074407509,353377.8074583427,353377.8074672656,353377.8074717914
2018-04-01,AAP,MiniPC-REVO,35.0,250.0,340.49540517961566,90.49540517961566,-90.49540517961566,342832.33308085636,342832.3342983174,342832.33491496387,342832.3352272966,342832.3353854937,342832.3354656209,342832.3355062055,342832.3355267617,342832.33553717344,342832.335542447,342832.3355451181,342832.33554647095
2018-05-01,AAP,MiniPC-REVO,0.0,-100.0,320.4728867623604,420.4728867623604,-420.4728867623604,386194.2938201779,386194.2961028266,386194.29726235825,386194.297851373,386194.2981505785,386194.29830256785,386194.29837977485,386194.2984189942,386194.2984389167,386194.29844903684,386194.2984541776,386194.298456789
2018-06-01,AAP,MiniPC-REVO,0.0,0.0,306.5392829900839,306.5392829900839,-306.5392829900839,366963.56156983646,366963.5622249652,366963.5625566513,366963.5627245811,366963.56280960253,366963.5628526482,366963.56287444185,366963.56288547575,366963.5628910621,366963.5628938904,366963.56289532245,366963.5628960474
2018-07-01,AAP,MiniPC-REVO,20.0,1400.0,352.1001461988304,1047.8998538011697,-1047.8998538011697,358549.85650224437,358549.8567536274,358549.85688081064,358549.85694515693,358549.8569777119,358549.85699418257,358549.8570025156,358549.85700673156,358549.8570088646,358549.85700994375,358549.85701048974,358549.85701076593
2018-08-01,AAP,MiniPC-REVO,18.0,-9.999999999999998,337.6161403508772,347.6161403508772,-347.6161403508772,346739.3394392986,346739.33950050094,346739.3395314178,346739.33954703575,346739.33955492533,346739.3395589108,346739.3395609241,346739.3395619411,346739.33956245484,346739.3395627144,346739.33956284553,346739.3395629118
2018-09-01,AAP,MiniPC-REVO,10.0,-44.44444444444444,322.92150247413406,367.3659469185785,-367.3659469185785,381278.856509641,381278.856630432,381278.85669156763,381278.85672251,381278.8567381708,381278.8567460971,381278.8567501089,381278.85675213934,381278.856753167,381278.85675368714,381278.85675395036,381278.8567540836
2018-10-01,AAP,MiniPC-REVO,0.0,-100.0,307.25774312324023,407.25774312324023,-407.25774312324023,370691.5637704342,370691.56381552725,370691.56383832404,370691.5638498489,370691.5638556754,370691.56385862094,370691.56386011,370691.56386086287,370691.5638612434,370691.56386143586,370691.5638615331,370691.5638615823
