time_period,region,roadmap_group,roadmap_invoice_qty,roadmap_invoice_qty_pct_change,h.01,h.02,h.03,h.04,h.05,h.06,h.07,h.08,h.09,h.10,h.11,h.12
2020-01-01,EMEA,MiniPC-REVO,6.0,-90.9090909090909,3856898.2795048836,3856898.2815994895,3856898.28265465,3856898.283186189,3856898.283453952,3856898.283588838,3856898.283656787,3856898.2836910165,3856898.2837082595,3856898.283716946,3856898.2837213217,3856898.2837235257
2020-02-01,EMEA,MiniPC-REVO,398.0,6533.333333333333,3772926.3882890455,3772926.388289034,3772926.388289028,3772926.388289025,3772926.3882890237,3772926.388289023,3772926.3882890227,3772926.3882890223,3772926.3882890223,3772926.3882890223,3772926.3882890223,3772926.3882890223
2020-03-01,EMEA,MiniPC-REVO,0.0,-100.0,3695758.530463795,3695758.530463788,3695758.530463785,3695758.530463783,3695758.530463782,3695758.5304637817,3695758.530463781,3695758.530463781,3695758.530463781,3695758.530463781,3695758.530463781,3695758.530463781
2020-04-01,EMEA,MiniPC-REVO,98.0,6526.436781609195,4407179.705122208,4407179.70512221,4407179.705122212,4407179.705122212,4407179.705122212,4407179.705122212,4407179.705122212,4407179.705122212,4407179.705122212,4407179.705122212,4407179.705122212,4407179.705122212
2020-05-01,EMEA,MiniPC-REVO,784.0,700.0,4323111.639425378,4323111.629777323,4323111.624912467,4323111.622459451,4323111.621222562,4323111.620598883,4323111.620284405,4323111.620125834,4323111.620045878,4323111.620005562,4323111.619985233,4323111.619974983
2020-06-01,EMEA,MiniPC-REVO,196.0,-75.0,5148164.2857233975,5148821.887901668,5149416.877712076,5149955.216674728,5150442.29869469,5150883.004106389,5151281.748572295,5151642.527325786,5151968.955201532,5152264.302854443,5152531.52953011,5152773.312715057
2020-07-01,EMEA,MiniPC-REVO,686.0,250.0,4839832.997334696,4839833.002225742,4839833.005660781,4839833.00807325,4839833.009767555,4839833.010957485,4839833.011793187,4839833.012380111,4839833.012792315,4839833.01308181,4839833.013285127,4839833.013427918
2020-08-01,EMEA,MiniPC-REVO,294.0,-57.14285714285714,4766278.598751552,4766278.598752876,4766278.598753544,4766278.598753881,4766278.598754051,4766278.598754138,4766278.598754181,4766278.598754203,4766278.598754214,4766278.59875422,4766278.598754222,4766278.598754223
2020-09-01,EMEA,MiniPC-REVO,98.0,-66.66666666666667,4672797.22475112,4672797.224756589,4672797.224759349,4672797.224760741,4672797.224761443,4672797.224761797,4672797.224761976,4672797.224762067,4672797.224762112,4672797.224762135,4672797.224762147,4672797.224762153
2020-10-01,EMEA,MiniPC-REVO,196.0,100.0,4592838.944102603,4592838.944103494,4592838.944103944,4592838.94410417,4592838.944104285,4592838.944104343,4592838.944104372,4592838.9441043865,4592838.944104394,4592838.944104398,4592838.9441043995,4592838.9441044
2020-11-01,EMEA,MiniPC-REVO,294.0,50.0,4515829.038873121,4515829.038873121,4515829.038873121,4515829.038873121,4515829.038873121,4515829.038873121,4515829.038873121,4515829.038873121,4515829.038873121,4515829.038873121,4515829.038873121,4515829.038873121
2020-12-01,EMEA,MiniPC-REVO,216.0,-26.530612244897956,4435847.6945854835,4435847.694587139,4435847.694587974,4435847.694588395,4435847.694588606,4435847.694588713,4435847.694588767,4435847.694588793,4435847.694588807,4435847.694588814,4435847.694588818,4435847.6945888195
2021-01-01,EMEA,MiniPC-REVO,153.0,-29.166666666666664,4360117.258527931,4360117.258527931,4360117.258527931,4360117.258527931,4360117.258527931,4360117.258527931,4360117.258527931,4360117.258527931,4360117.258527931,4360117.258527931,4360117.258527931,4360117.258527931
2021-02-01,EMEA,MiniPC-REVO,0.0,-100.0,4289252.152886508,4289252.152886508,4289252.152886508,4289252.152886508,4289252.152886508,4289252.152886508,4289252.152886508,4289252.152886508,4289252.152886508,4289252.152886508,4289252.152886508,4289252.152886508
2021-03-01,EMEA,MiniPC-REVO,162.0,6526.436781609195,4220710.604274584,4220710.604274584,4220710.604274584,4220710.604274584,4220710.604274584,4220710.604274584,4220710.604274584,4220710.604274584,4220710.604274584,4220710.604274584,4220710.604274584,4220710.604274584
2021-04-01,EMEA,MiniPC-REVO,158.0,-2.4691358024691357,4156490.379407041,4156490.379407041,4156490.379407041,4156490.379407041,4156490.379407041,4156490.379407041,4156490.379407041,4156490.379407041,4156490.379407041,4156490.379407041,4156490.379407041,4156490.379407041
2021-05-01,EMEA,MiniPC-REVO,108.0,-31.645569620253166,4676091.193860138,4676091.193860138,4676091.193860138,4676091.193860138,4676091.193860138,4676091.193860138,4676091.193860138,4676091.193860138,4676091.193860138,4676091.193860138,4676091.193860138,4676091.193860138
2021-06-01,EMEA,MiniPC-REVO,748.0,592.5925925925926,4605703.393757482,4605703.393758368,4605703.393758815,4605703.39375904,4605703.393759154,4605703.393759211,4605703.393759239,4605703.393759253,4605703.39375926,4605703.393759264,4605703.393759266,4605703.3937592665
2021-07-01,EMEA,MiniPC-REVO,927.0,23.930481283422456,4538106.913268645,4538106.913273764,4538106.913276342,4538106.91327764,4538106.913278295,4538106.913278624,4538106.91327879,4538106.913278874,4538106.913278915,4538106.913278936,4538106.913278947,4538106.913278952
2021-08-01,EMEA,MiniPC-REVO,956.0,3.1283710895361416,4460521.938387311,4460521.938390099,4460521.938391503,4460521.938392211,4460521.9383925665,4460521.938392745,4460521.938392836,4460521.938392881,4460521.938392904,4460521.938392915,4460521.93839292,4460521.938392924
2021-09-01,EMEA,MiniPC-REVO,140.0,-85.35564853556485,4395597.226860317,4395597.226867475,4395597.226871077,4395597.22687289,4395597.226873803,4395597.226874262,4395597.226874493,4395597.22687461,4395597.226874669,4395597.226874698,4395597.226874713,4395597.22687472
2021-10-01,EMEA,MiniPC-REVO,1344.0,860.0,4333053.624895867,4333053.62489608,4333053.624896187,4333053.624896241,4333053.624896268,4333053.624896282,4333053.62489629,4333053.6248962935,4333053.624896295,4333053.624896295,4333053.624896295,4333053.624896295
2018-02-01,EMEA,NITRO,10.0,-23.076923076923073,,,,,,,,,,,,
2018-03-01,EMEA,NITRO,0.0,-100.0,,,,,,,,,,,,
2018-04-01,EMEA,NITRO,2543.0,423.63140417457305,,,,,,,,,,,,
2018-05-01,EMEA,NITRO,1418.0,-44.239087691702714,2613.6512171853783,2046.4705790068904,1762.8802599176465,1621.0851003730245,1550.1875206007135,1514.738730714558,1497.01433577148,1488.1521382999413,1483.7210395641719,1481.5054901962872,1480.3977155123448,1479.8438281703736
2018-06-01,EMEA,NITRO,3080.0,117.20733427362484,66308.55843507382,66605.31657193079,66784.14419124904,66891.90641731548,66956.84435817196,66995.97621649197,67019.55722807595,67033.76723831306,67042.33024631716,67047.49034858696,67050.59984649027,67052.4736421449
2018-07-01,EMEA,NITRO,3599.0,16.85064935064935,50187.03978356783,50245.518702232104,50278.49956170903,50297.100061114324,50307.590344982396,50313.50664073527,50316.84330501201,50318.725112305074,50319.786411373396,50320.38496135064,50320.72253073701,50320.912912651555
2018-08-01,EMEA,NITRO,2720.0,-24.423450958599613,37166.24914010476,37169.72538907177,37171.53907920295,37172.48534971556,37172.979054713796,37173.236639222705,37173.37103077123,37173.44114790829,37173.47773066192,37173.49681726356,37173.50677546315,37173.51197103127
