time_period,region,roadmap_group,roadmap_invoice_qty,roadmap_invoice_qty_pct_change,h.01,h.02,h.03,h.04,h.05,h.06,h.07,h.08,h.09,h.10,h.11,h.12
2020-12-01,PA,M4,50.0,134300.0,2086381467.1848292,2086381467.1848292,2086381467.1848292,2086381467.1848292,2086381467.1848292,2086381467.1848292,2086381467.1848292,2086381467.1848292,2086381467.1848292,2086381467.1848292,2086381467.1848292,2086381467.1848292
2021-01-01,PA,M4,0.0,-100.0,2046937906.9108481,2046937906.910843,2046937906.9108403,2046937906.910839,2046937906.9108384,2046937906.9108381,2046937906.910838,2046937906.9108377,2046937906.9108377,2046937906.9108377,2046937906.9108377,2046937906.9108377
2021-02-01,PA,M4,0.0,0.0,2292591042.1962023,2292591042.196227,2292591042.19624,2292591042.1962466,2292591042.19625,2292591042.196252,2292591042.196253,2292591042.196253,2292591042.196253,2292591042.196253,2292591042.196253,2292591042.196253
2021-03-01,PA,M4,0.0,0.0,2252173821.3029222,2252173821.3029222,2252173821.3029222,2252173821.3029222,2252173821.3029222,2252173821.3029222,2252173821.3029222,2252173821.3029222,2252173821.3029222,2252173821.3029222,2252173821.3029222,2252173821.3029222
2021-04-01,PA,M4,0.0,0.0,2213019912.5098534,2213019912.510133,2213019912.5102754,2213019912.5103483,2213019912.5103855,2213019912.510404,2213019912.5104136,2213019912.5104184,2213019912.510421,2213019912.5104218,2213019912.5104227,2213019912.5104227
2021-05-01,PA,M4,300.0,134300.0,2175155173.1429863,2175155173.141991,2175155173.1414843,2175155173.1412263,2175155173.141095,2175155173.1410284,2175155173.140994,2175155173.140977,2175155173.1409683,2175155173.1409636,2175155173.140961,2175155173.1409597
2021-06-01,PA,M4,150.0,-50.0,2138520593.2798054,2138520593.2798057,2138520593.2798057,2138520593.2798057,2138520593.2798057,2138520593.2798057,2138520593.2798057,2138520593.2798057,2138520593.2798057,2138520593.2798057,2138520593.2798057,2138520593.2798057
2021-07-01,PA,M4,0.0,-100.0,2354838083.7385607,2354838083.738596,2354838083.738614,2354838083.7386236,2354838083.7386284,2354838083.7386303,2354838083.7386312,2354838083.738632,2354838083.738632,2354838083.738632,2354838083.738632,2354838083.738632
2021-08-01,PA,M4,378.0,134300.0,2317587842.594433,2317587842.594425,2317587842.5944214,2317587842.5944195,2317587842.5944185,2317587842.5944176,2317587842.5944176,2317587842.5944176,2317587842.5944176,2317587842.5944176,2317587842.5944176,2317587842.5944176
2021-09-01,PA,M4,141.0,-62.698412698412696,2281483844.0914736,2281483844.0914707,2281483844.091469,2281483844.091468,2281483844.091468,2281483844.091468,2281483844.091468,2281483844.091468,2281483844.091468,2281483844.091468,2281483844.091468,2281483844.091468
