,h.1,h.2,h.3,ngtv_h.1,ngtv_h.2,ngtv_h.3
2014-09-09,0.329166734212054,0.3402019202221321,0.3511270188181288,-0.329166734212054,-0.3402019202221321,-0.3511270188181288
2014-09-10,0.3204301038911659,0.331532770263258,0.34252498187751107,-0.3204301038911659,-0.331532770263258,-0.34252498187751107
2014-09-11,0.305062081056331,0.31633573828237677,0.3274969238375565,-0.305062081056331,-0.31633573828237677,-0.3274969238375565
2014-09-12,0.32569390693869416,0.3367363912737541,0.34766904440652824,-0.32569390693869416,-0.3367363912737541,-0.34766904440652824
2014-09-15,0.31016979467037187,0.3213268994272961,0.3323735542580817,-0.31016979467037187,-0.3213268994272961,-0.3323735542580817
2014-09-16,0.3361820311037638,0.347091993664899,0.3578937855345399,-0.3361820311037638,-0.347091993664899,-0.3578937855345399
2014-09-17,0.3189062166703165,0.32994450367059464,0.34087387852281936,-0.3189062166703165,-0.32994450367059464,-0.34087387852281936
2014-09-18,0.3194973534329886,0.33055962843495124,0.3415123703889124,-0.3194973534329886,-0.33055962843495124,-0.3415123703889124
2014-09-19,0.30409527933001285,0.3152623157584469,0.3263193368755044,-0.30409527933001285,-0.3152623157584469,-0.3263193368755044
2014-09-22,0.3507347155319782,0.36142722305511743,0.3720145764647656,-0.3507347155319782,-0.36142722305511743,-0.3720145764647656
2014-09-23,0.36481514652639946,0.37532503809383283,0.3857321316679193,-0.36481514652639946,-0.37532503809383283,-0.3857321316679193
2014-09-24,0.3902037766239433,0.40052048718789257,0.4107355155583744,-0.3902037766239433,-0.40052048718789257,-0.4107355155583744
2014-09-25,0.6014506525611141,0.6096877212903686,0.6178435745624629,-0.6014506525611141,-0.6096877212903686,-0.6178435745624629
2014-09-26,0.6141644709745521,0.6222970526324803,0.6303492406634115,-0.6141644709745521,-0.6222970526324803,-0.6303492406634115
2014-09-29,0.5820107143058046,0.5907125815271517,0.5993261695487696,-0.5820107143058046,-0.5907125815271517,-0.5993261695487696
