,h.1,h.2,h.3,ngtv_h.1,ngtv_h.2,ngtv_h.3,sqrt_h.1,sqrt_h.2,sqrt_h.3,sqrt_ngtv_h.1,sqrt_ngtv_h.2,sqrt_ngtv_h.3
1999-02-24,1.9708472597863858,1.9708472597868165,1.9708472597870301,-1.9708472597863858,-1.9708472597868165,-1.9708472597870301,1.4038686761183845,1.403868676118538,1.403868676118614,-1.4038686761183845,-1.403868676118538,-1.403868676118614
1999-02-25,1.9109567736500883,1.9109567736501842,1.9109567736502315,-1.9109567736500883,-1.9109567736501842,-1.9109567736502315,1.3823736013285586,1.3823736013285932,1.3823736013286103,-1.3823736013285586,-1.3823736013285932,-1.3823736013286103
1999-02-26,1.916981697960852,1.9169816979609542,1.9169816979610044,-1.916981697960852,-1.9169816979609542,-1.9169816979610044,1.3845510817448563,1.3845510817448934,1.3845510817449114,-1.3845510817448563,-1.3845510817448934,-1.3845510817449114
1999-03-01,1.875428539978858,1.8754285399789024,1.8754285399789241,-1.875428539978858,-1.8754285399789024,-1.8754285399789241,1.3694628654983156,1.3694628654983318,1.3694628654983398,-1.3694628654983156,-1.3694628654983318,-1.3694628654983398
1999-03-02,1.8196294243120166,1.8196199744701194,1.8196119672258828,-1.8196294243120166,-1.8196199744701194,-1.8196119672258828,1.3489364048434664,1.3489329021378784,1.3489299341425718,-1.3489364048434664,-1.3489329021378784,-1.3489299341425718
1999-03-03,1.6593137770865796,1.6547982714474652,1.6502950539436443,-1.6593137770865796,-1.6547982714474652,-1.6502950539436443,1.2881435390074274,1.2863896266090866,1.2846381023244033,-1.2881435390074274,-1.2863896266090866,-1.2846381023244033
1999-03-04,1.5773529910555975,1.5712950940873822,1.5652604636770004,-1.5773529910555975,-1.5712950940873822,-1.5652604636770004,1.2559271440078033,1.253513100883825,1.2511036982109038,-1.2559271440078033,-1.253513100883825,-1.2511036982109038
1999-03-05,1.4540096209307949,1.4460192520157087,1.4380727992651459,-1.4540096209307949,-1.4460192520157087,-1.4380727992651459,1.2058232129673052,1.2025054062313851,1.1991967308432532,-1.2058232129673052,-1.2025054062313851,-1.1991967308432532
1999-03-08,1.519681535698983,1.5131427834583515,1.5066321656613686,-1.519681535698983,-1.5131427834583515,-1.5066321656613686,1.2327536394993863,1.2300986885036305,1.2274494554405768,-1.2327536394993863,-1.2300986885036305,-1.2274494554405768
1999-03-09,1.790554325488892,1.7904255099778212,1.7903064176511343,-1.790554325488892,-1.7904255099778212,-1.7903064176511343,1.3381159611516829,1.3380678271215631,1.3380233247784339,-1.3381159611516829,-1.3380678271215631,-1.3380233247784339
1999-03-10,1.6570914849974738,1.653350889005681,1.649618736799312,-1.6570914849974738,-1.653350889005681,-1.649618736799312,1.2872806551010831,1.2858269280916779,1.2843748427929098,-1.2872806551010831,-1.2858269280916779,-1.2843748427929098
1999-03-11,1.546992083601302,1.5414497917774541,1.5359273559667643,-1.546992083601302,-1.5414497917774541,-1.5359273559667643,1.2437813648713756,1.241551364937212,1.2393253632387116,-1.2437813648713756,-1.241551364937212,-1.2393253632387116
1999-03-12,1.447936207832668,1.4409911577234507,1.4340794197444933,-1.447936207832668,-1.4409911577234507,-1.4340794197444933,1.2033022096849437,1.2004129113448634,1.1975305506518374,-1.2033022096849437,-1.2004129113448634,-1.1975305506518374
1999-03-15,1.3759466795195292,1.3681419267605648,1.3603814448281826,-1.3759466795195292,-1.3681419267605648,-1.3603814448281826,1.173007536002872,1.1696759922134696,1.166353910624122,-1.173007536002872,-1.1696759922134696,-1.166353910624122
1999-03-16,1.2853442896642109,1.2765445753567708,1.2678051057456288,-1.2853442896642109,-1.2765445753567708,-1.2678051057456288,1.1337302543657424,1.1298427215133842,1.1259685189851574,-1.1337302543657424,-1.1298427215133842,-1.1259685189851574
1999-03-17,1.2357282702073566,1.2265371897580473,1.21741447070466,-1.2357282702073566,-1.2265371897580473,-1.21741447070466,1.1116331545106761,1.1074913948911962,1.1033650668317625,-1.1116331545106761,-1.1074913948911962,-1.1033650668317625
1999-03-18,1.1485751348504716,1.1386632300004158,1.1288368624516816,-1.1485751348504716,-1.1386632300004158,-1.1288368624516816,1.0717159767636533,1.0670816416752824,1.0624673465343213,-1.0717159767636533,-1.0670816416752824,-1.0624673465343213
1999-03-19,1.106197464228742,1.0960929384833369,1.0860807123529428,-1.106197464228742,-1.0960929384833369,-1.0860807123529428,1.0517592235054285,1.0469445727846995,1.0421519622170956,-1.0517592235054285,-1.0469445727846995,-1.0421519622170956
1999-03-22,1.1293108770992362,1.1196151301670805,1.1100026266488543,-1.1293108770992362,-1.1196151301670805,-1.1100026266488543,1.0626903956935134,1.058118674897613,1.0535666218369175,-1.0626903956935134,-1.058118674897613,-1.0535666218369175
1999-03-23,1.1819588591987884,1.172957609160631,1.1640249085856453,-1.1819588591987884,-1.172957609160631,-1.1640249085856453,1.0871793132684178,1.0830316750495486,1.0788998603140356,-1.0871793132684178,-1.0830316750495486,-1.0788998603140356
1999-03-24,1.1073304292950095,1.097812575112518,1.0883765300243964,-1.1073304292950095,-1.097812575112518,-1.0883765300243964,1.052297690435083,1.0477655153289394,1.043252860060492,-1.052297690435083,-1.0477655153289394,-1.043252860060492
1999-03-25,1.4776835604840475,1.4730372028504202,1.4684280420932365,-1.4776835604840475,-1.4730372028504202,-1.4684280420932365,1.215600082462998,1.2136874403446796,1.2117871273838638,-1.215600082462998,-1.2136874403446796,-1.2117871273838638
1999-03-26,1.3943389368741073,1.3880769870302134,1.3818431624268317,-1.3943389368741073,-1.3880769870302134,-1.3818431624268317,1.1808212976035397,1.1781667908366003,1.1755182526982861,-1.1808212976035397,-1.1781667908366003,-1.1755182526982861
